publish_date,headline,description
9/4/19,"Big College or Small, You Can Find a Highly Ranked One",The top 100 schools in the WSJ/THE College Rankings include colleges of all sizes
9/4/19,The Biggest Bargains Among U.S. Colleges,The schools that offer the best value are often those with modest resources
9/4/19,Compare Any Two Colleges From the 2020 WSJ/THE College Rankings,
11/14/19,How to Decide Whether to Move or Stay in Your House in Retirement,Also: answering a reader’s question about getting the shingles vaccine
11/14/19,He Wanted Something More From Retirement. So He Got Three Jobs,"After a career in marketing and sales, Thomas Marshall has found physical and intellectual satisfaction by working completely different jobs"
11/17/19,Coming to Terms With Occasional Memory Loss,"I no longer panic at the minor lapses. Instead, I see them as opportunities"
11/17/19,The Revealing Words People Use to Describe Retirement,"Men talk about ‘hobbies’ and ‘travel.’ For women, it’s about ‘calm’ and ‘time.’"
11/17/19,There’s a New Type of Senior on College Campuses,
11/17/19,What Science Tells Us About Preventing Dementia,
1/15/20,Top Colleges in the Northeast for Student Outcomes,Harvard and Princeton top the regional list for this category in the WSJ/THE College Rankings
1/22/20,Top Public and Private Colleges in the West,UCLA is the region’s top public school and Caltech the leading private college in the WSJ/THE College Rankings
1/29/20,Top Colleges in the South for Student Engagement,"Samford University heads this list from the WSJ/THE College Rankings, followed by Baylor and Oral Roberts"
2/5/20,Top Big-City and Small-Town Colleges in the Midwest,The University of Chicago and Carleton College head these lists in the WSJ/THE College Rankings
2/5/20,The Financial Challenge for Athletes: Retirement Is Always Near,Their financial advisers explain how they create portfolios suited to lucrative but short careers
2/6/20,Do You Have to Be Active to Have a ‘Successful’ Retirement?,
2/9/20,Thinking of a College Co-op Program? Here’s What You Need to Know,"The right work experience can give graduates a boost, but there are lots of questions to ask"
2/12/20,Omnicom’s Hearts & Science Expands Marketing Tech Consulting Group,The agency projects the group will account for 30% of revenue within the next three years
2/12/20,Harvard Is Top Ivy in WSJ/THE College Rankings,"Harvard University, No. 1 overall in the WSJ/THE College Rankings, is followed in the Ivy League ranking by Yale and Penn"
2/13/20,When It Makes Sense to Review Your Will,
2/13/20,"Instagram Targets More Funding, Ad Revenue-Sharing, for Video Hub","The Facebook-owned company looks to pay more for videos on its IGTV app, though no formal funding program is in place "
2/14/20,Should Parents Try to Spend the Same Amount of Money on Each Child?,Sometimes what seems most equitable isn’t necessarily the most fair
2/17/20,Game Plan: A Couple Wants to Pay Off Debt—and Save for Disney World,"An adviser suggests a plan for debt reduction, spending and saving for bucket-list items"
2/17/20,"You’re Getting Married Again. Should You Combine Finances, Too?",
2/17/20,"People Don’t Save Enough for Emergencies, but There Are Ways to Fix That",
2/19/20,David Ruder Weathered Black Monday as SEC Chairman in Late 1980s,Former Northwestern University law dean sought wider powers for agency in wake of crash 
2/19/20,U.S. House Subcommittee Scrutinizes Accounting Rule Maker,Rep. Sherman looks to make accounting rules a focus of the Congressional subcommittee despite legislative obstacles
2/19/20,Target Faces Labor Organizing Effort at New Jersey Warehouse,"Unionization bid comes as Target, other companies move logistics operations closer to urban population centers"
