publish_date,headline,description
2019-09-04,"Big College or Small, You Can Find a Highly Ranked One",The top 100 schools in the WSJ/THE College Rankings include colleges of all sizes
2019-09-04,The Biggest Bargains Among U.S. Colleges,The schools that offer the best value are often those with modest resources
2019-09-04,Compare Any Two Colleges From the 2020 WSJ/THE College Rankings,
2019-11-14,How to Decide Whether to Move or Stay in Your House in Retirement,Also: answering a reader’s question about getting the shingles vaccine
2019-11-14,He Wanted Something More From Retirement. So He Got Three Jobs,"After a career in marketing and sales, Thomas Marshall has found physical and intellectual satisfaction by working completely different jobs"
2019-11-17,Coming to Terms With Occasional Memory Loss,"I no longer panic at the minor lapses. Instead, I see them as opportunities"
2019-11-17,The Revealing Words People Use to Describe Retirement,"Men talk about ‘hobbies’ and ‘travel.’ For women, it’s about ‘calm’ and ‘time.’"
2019-11-17,There’s a New Type of Senior on College Campuses,
2019-11-17,What Science Tells Us About Preventing Dementia,
2020-01-15,Top Colleges in the Northeast for Student Outcomes,Harvard and Princeton top the regional list for this category in the WSJ/THE College Rankings
2020-01-22,Top Public and Private Colleges in the West,UCLA is the region’s top public school and Caltech the leading private college in the WSJ/THE College Rankings
2020-01-29,Top Colleges in the South for Student Engagement,"Samford University heads this list from the WSJ/THE College Rankings, followed by Baylor and Oral Roberts"
2020-02-05,Top Big-City and Small-Town Colleges in the Midwest,The University of Chicago and Carleton College head these lists in the WSJ/THE College Rankings
2020-02-05,The Financial Challenge for Athletes: Retirement Is Always Near,Their financial advisers explain how they create portfolios suited to lucrative but short careers
2020-02-06,Do You Have to Be Active to Have a ‘Successful’ Retirement?,
2020-02-09,Thinking of a College Co-op Program? Here’s What You Need to Know,"The right work experience can give graduates a boost, but there are lots of questions to ask"
2020-02-12,Omnicom’s Hearts & Science Expands Marketing Tech Consulting Group,The agency projects the group will account for 30% of revenue within the next three years
2020-02-12,Harvard Is Top Ivy in WSJ/THE College Rankings,"Harvard University, No. 1 overall in the WSJ/THE College Rankings, is followed in the Ivy League ranking by Yale and Penn"
2020-02-13,When It Makes Sense to Review Your Will,
2020-02-13,"Instagram Targets More Funding, Ad Revenue-Sharing, for Video Hub","The Facebook-owned company looks to pay more for videos on its IGTV app, though no formal funding program is in place "
2020-02-14,Should Parents Try to Spend the Same Amount of Money on Each Child?,Sometimes what seems most equitable isn’t necessarily the most fair
2020-02-17,Game Plan: A Couple Wants to Pay Off Debt—and Save for Disney World,"An adviser suggests a plan for debt reduction, spending and saving for bucket-list items"
2020-02-17,"You’re Getting Married Again. Should You Combine Finances, Too?",
2020-02-17,"People Don’t Save Enough for Emergencies, but There Are Ways to Fix That",
2020-02-19,David Ruder Weathered Black Monday as SEC Chairman in Late 1980s,Former Northwestern University law dean sought wider powers for agency in wake of crash 
2020-02-19,U.S. House Subcommittee Scrutinizes Accounting Rule Maker,Rep. Sherman looks to make accounting rules a focus of the Congressional subcommittee despite legislative obstacles
2020-02-19,Target Faces Labor Organizing Effort at New Jersey Warehouse,"Unionization bid comes as Target, other companies move logistics operations closer to urban population centers"
2020-02-19,Top Colleges in the West for Student Outcomes,"Stanford heads this list from the WSJ/THE College Rankings, followed by Caltech, UCLA and Berkeley"
2020-02-20,"Texas Tycoon Clayton Williams Survived Oil Bust, Flopped in Politics","Entrepreneur, riding high on cowboy image, blew a big lead in polls to lose 1990 gubernatorial election"
2020-02-20,Swiss Regulator Censures Julius Baer in FIFA Money Laundering Case,"The Swiss bank failed to do enough to identify to determine the identity of its clients, Switzerland’s Market Watchdog says "
2020-02-20,Maersk Warns of Lower Earnings From Coronavirus Impact,The world’s biggest container ship operator says efforts to hold back the spread of the virus are weighing on both China’s exports and imports 
2020-02-20,U.S. Blacklists Five Senior Iranian Officials Ahead of Parliamentary Elections,Treasury Department alleges the officials prevented fair elections in Iran 
2020-02-20,More Manufacturers Bet on Simulation Software,Tool allows auto makers and others to assess how changes to a line will affect production
2020-02-20,New Mexico Sues Google Over Children’s Data Privacy,"State alleges tech company’s education platform improperly gathers students’ personal data, tracks their online behavior"
2020-02-20,Volkswagen CFO Frank Witter to Step Down in June 2021,He has led the German auto maker’s finances since 2015
2020-02-21,What the E*Trade Deal Tells You About the New Investing Game,The days of the ‘financial supermarket’ are over. Investment firms want to grab as much of your money as they can.
2020-02-21,Today’s Logistics Report: Maersk Seeks Anchor; Canada’s Rail Standoff; Garlic Markets Pressed,Today’s Top Supply Chain & Logistics News from WSJ
2020-02-21,California Disputes Trump Administration’s Claim That Abortion-Coverage Mandate Violates U.S. Law,State’s response comes after administration officials threaten to withhold federal funds 
2020-02-21,Trump Says He’s Prepared to Give More Aid to Farmers Hurt by Trade Conflict,President raises prospect of third aid program to offset export losses until new trade deals pay off 
2020-02-21,Marriott Hires Former Merck CIO as Tech Chief,Jim Scholefield is also a veteran of Nike and Coca-Cola
2020-02-21,FDA Clears New Type of Cholesterol Drug,Doctors see the drug as an alternative for millions of patients who can’t take or aren’t responding to statins 
2020-02-21,SEC Rejects Controversial ‘Speed Bump’ Proposal,Regulator disapproves plan from Cboe to introduce trading delay to one of its exchanges
2020-02-21,"The Premier League’s Mad, Mad, Mad, Mad Dash for Fifth Place",Manchester City’s European ban has breathed new life into a snooze of a season
2020-02-21,I’m in Love—With a Weighted Blanket,Heavy comforters promise to alleviate stress and promote sleep. But sometimes you just need a hug. 
2020-02-21,"DSV Expects Job Reductions of Up to 4,000 on Panalpina Integration",European freight forwarder expects $332 million in annual cost savings from post-acquisition consolidation 
2020-02-21,You’re a Scorpio? Why the Earth’s Wobble Means Your Zodiac Sign Isn’t What You Think,"Over span of human life, Earth’s movement makes stars appear to shift to east by about one degree "
2020-02-21,Canadian Rail Blockades Highlight Grievances of Indigenous Groups,
2020-02-21,Greyhound to Stop Allowing Border Patrol on Its Buses Without Warrant,Friday’s policy change followed a government memo saying agents couldn’t board buses to question passengers without a warrant or company consent
2020-02-21,Iran Faces Long-Term Banking Woes Under Terror-Finance Watchdog Action,"Tehran’s blacklisting by the Financial Action Task Force sends a signal to Pakistan, which is also in the watchdog’s sights "
2020-02-21,A Richard Neutra-Designed Home on the California Coast Asks $15 Million,"Filmmaker Marc Forster is selling the white stucco property in Santa Monica, which was commissioned by a pair of Hollywood hopefuls in the 1930s"
2020-02-21,Wells Fargo Reaches Settlement With Government Over Fake-Accounts Scandal,Bank to pay $3 billion to settle investigations by the Justice Department and SEC
2020-02-21,How to Change Anyone’s Mind,"People instinctively resist being forced to do things differently. Instead of pushing, try removing the barriers that stand in their way."
2020-02-21,SEC Investigates Altria’s Investment in Juul,Regulators investigating Marlboro maker’s disclosures after two charges totaling $8.6 billion 
2020-02-21,How One Singapore Sales Conference Spread Coronavirus Around the World,
2020-02-21,"Fox, Comcast Pursue Takeovers of Ad-Supported Video Services",Entertainment giants increasingly look to give consumers free or low-cost alternatives to premium subscription streaming services
2020-02-21,Bernie Sanders Was Warned Russia Is Trying to Boost His Presidential Campaign,"U.S. officials briefed candidate about a month ago, in reaction to intelligence said to be considered compelling"
2020-02-21,Google Resists Demands From States in Digital-Ad Probe,Company is reluctant to surrender some documents in investigation of possible anticompetitive practices
2020-02-21,A Man for All Seasons at 100,What has brought my father to the century mark? A life defined by duty.
2020-02-21,Weinstein Jury Appears Deadlocked on Predatory Sexual Assault,"Panel asks if it can reach partial verdict on rape, criminal-sex act counts, prompting judge to tell them to keep deliberating"
2020-02-21,Do the Benefits of Digital Devices in School Classrooms Outweigh the Downsides?,Proponents say new technologies are essential in education and can help narrow the achievement gap; critics say they are setting many students back
2020-02-21,The Architect Who Wants to Rebuild Notre Dame as It Was,"Philippe Villeneuve, who oversees France’s historic monuments, is resisting efforts to rebuild the cathedral’s iconic spire with a ‘contemporary’ touch "
2020-02-21,Boeing Finds Fuel-Tank Debris in Two-Thirds of 737 MAX Jets Inspected,"The scale of the problem, previously unreported, points to wider quality issues that have bedeviled the aerospace giant"
2020-02-21,HBO Max Will Include ‘Friends’ Reunion Special,"Launching in May, new streaming service also will have previous episodes "
2020-02-21,"Richard J. Fox, Philadelphia Real-Estate Developer, Championed Temple University",Entrepreneur managed arena project and fought long battle to build a community near Valley Forge park
2020-02-21,EBay Moves Toward Selling Its Classified-Ads Business,"Private-equity firms including TPG and Blackstone, as well as strategic bidders, have shown interest "
2020-02-21,"The Robot in Aisle Five Isn’t Stalking You. No, Really.",
2020-02-21,CFOs Adapt to Workers Negotiating for Higher Pay,"Finance chiefs are realizing they must increase salary offers, staffing firm says "
2020-02-21,Nine Ways to Make Your Work Day Better,A new book argues that headphones in the office can be helpful; weekend email not so much.
2020-02-21,Losing Your Hair? Why This Solution Is No Longer Shameful,"Discussing waning manes is suddenly fashionable thanks to new, stigma-free products and evolved attitudes toward thinning tresses "
2020-02-22,Google Plots Course to Overtake Cloud Rivals,Job cuts are part of yearlong push to shake up unit and focus on delivering growth to Alphabet
2020-02-22,Trump Era Challenges Maine Voters’ Loyalty to Susan Collins,Democrats see Maine race as pivotal in bid to win Senate control 
2020-02-22,The Invisible King of Broadway,"John Gore has quietly built an empire with a stake in everything from funding to touring to ticket sales, while staying out of the spotlight"
2020-02-22,The Controversial Past of the Tycoon Behind the Astros,"When Jim Crane bought Houston’s baseball team in 2011, the league had concerns about his business history. Then the Astros became the epicenter of baseball’s biggest scandal."
2020-02-22,The Pleasure of Defying Food Fashions,Fads like avocado toast are bad for farmers and make menus duller. It’s time to cultivate unfashionable tastes.
2020-02-22,Legacy Preference Gets Fresh Look Following College-Admissions Scandal,Universities have defended custom as needed to encourage donations from alumni
2020-02-22,Can Sporty Sedans Still Thrive in an SUVs’ World?,"Alfa Romeo’s tasty Giulia has lovely curves, a powerful engine and an updated UX inside. So why are sales plummeting? Dan Neil explores how this immortal beauty fits into the current auto landscape"
